user_id,recency_days,frequency_monthly,monetary_monthly,n_services,tier,city,churn_label,segment_true,R,F,M,E,RFM_score,RFME_score,segment_rfm,ovo_points_balance,cluster_kmeans,services_used,monetary_monthly_raw
USR008328,322,0,21000.0,4,Member,Bekasi,1,Hibernating,1,1,1,4,3,7,Hibernating,185,3,GrabCar|GrabExpress|GrabFood|GrabMart,21000.0
USR003337,8,8,520000.0,2,Silver,Bekasi,0,Loyal,4,3,3,2,10,12,Champions,5219,2,GrabBike|GrabCar,520000.0
USR005589,63,3,118000.0,2,Member,Medan,0,At_Risk,2,2,2,2,6,8,Hibernating,1335,0,GrabExpress|GrabFood,118000.0
USR000251,4,21,2327000.0,2,Platinum,Bekasi,0,Champions,4,4,4,2,12,14,Champions,21945,1,GrabExpress|GrabFood,2327000.0
USR003973,28,12,423000.0,1,Silver,Bekasi,0,Loyal,2,3,3,1,8,9,At_Risk,4931,2,GrabFood,423000.0
USR006630,8,3,128000.0,2,Member,Jakarta,0,Promising,4,2,2,2,8,10,Promising,1369,0,GrabFood|GrabExpress,128000.0
USR005547,65,5,307000.0,1,Silver,Jakarta,1,At_Risk,2,2,3,1,7,8,Hibernating,3230,0,GrabFood,307000.0
USR000035,4,25,1466000.0,2,Gold,Surabaya,0,Champions,4,4,4,2,12,14,Champions,15556,1,GrabMart|GrabBike,1466000.0
USR008362,354,0,14000.0,1,Member,Jakarta,0,Hibernating,1,1,1,1,3,4,Hibernating,163,3,GrabMart,14000.0
USR001513,12,9,628000.0,3,Gold,Jakarta,0,Loyal,3,3,4,3,10,13,Loyal,7465,4,GrabMart|GrabExpress|GrabCar,628000.0
USR009317,126,0,22000.0,4,Member,Surabaya,1,Hibernating,1,1,1,4,3,7,Hibernating,230,4,GrabCar|GrabMart|GrabBike|GrabExpress,22000.0
USR000039,11,28,1065000.0,4,Gold,Bandung,0,Champions,4,4,4,4,12,16,Champions,9782,1,GrabCar|GrabExpress|GrabMart|GrabBike,1065000.0
USR004819,85,3,172000.0,1,Member,Bekasi,0,At_Risk,1,2,2,1,5,6,Hibernating,1584,0,GrabBike,172000.0
USR003465,18,9,616000.0,3,Gold,Surabaya,0,Loyal,3,3,4,3,10,13,Loyal,5798,4,GrabFood|GrabMart|GrabExpress,616000.0
USR001760,11,9,510000.0,2,Silver,Jakarta,0,Loyal,4,3,3,2,10,12,Champions,5135,2,GrabMart|GrabExpress,510000.0
USR002304,9,10,614000.0,1,Gold,Bekasi,0,Loyal,4,3,4,1,11,12,Champions,4944,2,GrabMart,614000.0
USR003723,21,9,585000.0,3,Silver,Bandung,0,Loyal,3,3,3,3,9,12,Loyal,5803,4,GrabBike|GrabMart|GrabFood,585000.0
USR008284,255,0,76000.0,1,Member,Surabaya,1,Hibernating,1,1,1,1,3,4,Hibernating,851,3,GrabCar,76000.0
USR004993,85,3,219000.0,1,Silver,Bandung,1,At_Risk,1,2,2,1,5,6,Hibernating,2208,0,GrabExpress,219000.0
USR008127,290,0,31000.0,1,Member,Surabaya,1,Hibernating,1,1,1,1,3,4,Hibernating,268,3,GrabCar,31000.0
USR003032,19,9,425000.0,3,Silver,Jakarta,0,Loyal,3,3,3,3,9,12,Loyal,4420,4,GrabFood|GrabExpress|GrabCar,425000.0
USR007938,4,3,230000.0,3,Silver,Jakarta,1,Promising,4,2,2,3,8,11,Promising,2029,4,GrabFood|GrabCar|GrabBike,230000.0
USR003039,17,12,734000.0,2,Gold,Surabaya,0,Loyal,3,3,4,2,10,12,Loyal,8595,2,GrabFood|GrabMart,734000.0
USR009655,145,0,31000.0,2,Member,Jakarta,1,Hibernating,1,1,1,2,3,5,Hibernating,303,3,GrabExpress|GrabBike,31000.0
USR002545,8,11,587000.0,1,Silver,Jakarta,0,Loyal,4,3,3,1,10,11,Champions,6894,2,GrabMart,587000.0
USR002592,8,13,371000.0,4,Silver,Surabaya,0,Loyal,4,4,3,4,11,15,Champions,3482,4,GrabCar|GrabBike|GrabFood|GrabExpress,371000.0
USR001188,12,26,1184000.0,4,Gold,Jakarta,0,Champions,3,4,4,4,11,15,Loyal,13837,1,GrabBike|GrabMart|GrabCar|GrabExpress,1184000.0
USR007966,19,5,207000.0,1,Silver,Jakarta,0,Promising,3,2,2,1,7,8,Promising,2198,0,GrabExpress,207000.0
USR006077,14,6,125000.0,1,Member,Jakarta,0,Promising,3,3,2,1,8,9,Loyal,1296,0,GrabCar,125000.0
USR000107,4,22,1516000.0,4,Platinum,Jakarta,0,Champions,4,4,4,4,12,16,Champions,13886,1,GrabExpress|GrabFood|GrabCar|GrabBike,1516000.0
USR001315,4,29,2381000.0,3,Platinum,Jakarta,0,Champions,4,4,4,3,12,15,Champions,24299,1,GrabBike|GrabFood|GrabMart,2381000.0
USR008187,184,0,23000.0,3,Member,Bekasi,1,Hibernating,1,1,1,3,3,6,Hibernating,216,3,GrabCar|GrabFood|GrabBike,23000.0
USR002753,21,12,480000.0,1,Silver,Bandung,0,Loyal,3,3,3,1,9,10,Loyal,4661,2,GrabMart,480000.0
USR009753,93,0,38000.0,3,Member,Surabaya,1,Hibernating,1,1,1,3,3,6,Hibernating,426,4,GrabFood|GrabMart|GrabCar,38000.0
USR006231,6,6,86000.0,1,Member,Bekasi,0,Promising,4,3,1,1,8,9,Loyal,840,0,GrabCar,86000.0
USR002876,7,9,757000.0,1,Gold,Medan,0,Loyal,4,3,4,1,11,12,Champions,6923,2,GrabMart,757000.0
USR005323,74,3,258000.0,1,Silver,Bandung,0,At_Risk,2,2,3,1,7,8,Hibernating,3093,0,GrabCar,258000.0
USR000799,6,24,1962000.0,2,Platinum,Bekasi,0,Champions,4,4,4,2,12,14,Champions,20039,1,GrabFood|GrabBike,1962000.0
USR003570,15,13,438000.0,1,Silver,Medan,0,Loyal,3,4,3,1,10,11,Loyal,4942,2,GrabMart,438000.0
USR002894,7,12,587000.0,2,Silver,Jakarta,0,Loyal,4,3,3,2,10,12,Champions,6232,2,GrabBike|GrabExpress,587000.0
USR002927,17,10,585000.0,1,Silver,Jakarta,0,Loyal,3,3,3,1,9,10,Loyal,5392,2,GrabBike,585000.0
USR008178,243,0,58000.0,3,Member,Jakarta,1,Hibernating,1,1,1,3,3,6,Hibernating,695,3,GrabBike|GrabMart|GrabFood,58000.0
USR000971,11,18,1869000.0,1,Platinum,Jakarta,0,Champions,4,4,4,1,12,13,Champions,19515,1,GrabMart,1869000.0
USR006687,4,7,134000.0,2,Member,Bandung,1,Promising,4,3,2,2,9,11,Loyal,1216,0,GrabCar|GrabBike,134000.0
USR008575,331,0,59000.0,1,Member,Medan,1,Hibernating,1,1,1,1,3,4,Hibernating,512,3,GrabExpress,59000.0
USR002020,22,13,713000.0,1,Gold,Surabaya,0,Loyal,2,4,4,1,10,11,At_Risk,6320,2,GrabMart,713000.0
USR009054,317,0,58000.0,3,Member,Jakarta,1,Hibernating,1,1,1,3,3,6,Hibernating,505,3,GrabBike|GrabCar|GrabFood,58000.0
USR000952,13,16,1356000.0,1,Gold,Jakarta,0,Champions,3,4,4,1,11,12,Loyal,15885,1,GrabMart,1356000.0
USR005359,72,5,257000.0,3,Silver,Jakarta,0,At_Risk,2,2,3,3,7,10,Hibernating,2719,4,GrabBike|GrabCar|GrabMart,257000.0
USR003857,27,14,622000.0,1,Gold,Bekasi,0,Loyal,2,4,4,1,10,11,At_Risk,5680,2,GrabExpress,622000.0
USR005861,58,5,310000.0,1,Silver,Jakarta,1,At_Risk,2,2,3,1,7,8,Hibernating,2501,0,GrabExpress,310000.0
USR003145,16,13,793000.0,3,Gold,Surabaya,0,Loyal,3,4,4,3,11,14,Loyal,9435,2,GrabCar|GrabBike|GrabFood,793000.0
USR003305,27,14,524000.0,2,Silver,Bekasi,0,Loyal,2,4,3,2,9,11,At_Risk,6250,2,GrabBike|GrabCar,524000.0
USR003006,19,12,774000.0,2,Gold,Bekasi,0,Loyal,3,3,4,2,10,12,Loyal,7484,2,GrabCar|GrabFood,774000.0
USR009001,293,0,71000.0,1,Member,Jakarta,1,Hibernating,1,1,1,1,3,4,Hibernating,687,3,GrabExpress,71000.0
USR007770,10,3,80000.0,3,Member,Jakarta,0,Promising,4,2,1,3,7,10,Promising,687,4,GrabCar|GrabBike|GrabFood,80000.0
USR007438,12,4,188000.0,2,Member,Medan,1,Promising,3,2,2,2,7,9,Promising,2025,0,GrabMart|GrabBike,188000.0
USR007942,14,3,155000.0,1,Member,Jakarta,0,Promising,3,2,2,1,7,8,Promising,1693,0,GrabFood,155000.0
USR009238,304,0,9000.0,2,Member,Jakarta,1,Hibernating,1,1,1,2,3,5,Hibernating,72,3,GrabBike|GrabMart,9000.0
USR001056,4,22,1854000.0,4,Platinum,Surabaya,0,Champions,4,4,4,4,12,16,Champions,15426,1,GrabMart|GrabExpress|GrabBike|GrabCar,1854000.0
USR003154,12,14,738000.0,2,Gold,Jakarta,0,Loyal,3,4,4,2,11,13,Loyal,7012,2,GrabFood|GrabCar,738000.0
USR003787,26,13,505000.0,1,Silver,Jakarta,0,Loyal,2,4,3,1,9,10,At_Risk,5435,2,GrabBike,505000.0
USR009189,165,0,12000.0,1,Member,Medan,1,Hibernating,1,1,1,1,3,4,Hibernating,118,3,GrabExpress,12000.0
USR007825,11,3,209000.0,1,Silver,Jakarta,0,Promising,4,2,2,1,8,9,Promising,1755,0,GrabBike,209000.0
USR007539,13,4,221000.0,4,Silver,Medan,0,Promising,3,2,2,4,7,11,Promising,1873,4,GrabExpress|GrabBike|GrabFood|GrabMart,221000.0
USR007231,9,3,162000.0,1,Member,Jakarta,0,Promising,4,2,2,1,8,9,Promising,1418,0,GrabMart,162000.0
USR000764,12,26,2281000.0,2,Platinum,Jakarta,0,Champions,3,4,4,2,11,13,Loyal,19440,1,GrabExpress|GrabMart,2281000.0
USR005019,87,3,254000.0,1,Silver,Medan,0,At_Risk,1,2,3,1,6,7,Hibernating,2380,0,GrabBike,254000.0
USR004903,62,5,273000.0,2,Silver,Jakarta,0,At_Risk,2,2,3,2,7,9,Hibernating,2634,0,GrabBike|GrabMart,273000.0
USR008093,155,0,59000.0,3,Member,Bekasi,1,Hibernating,1,1,1,3,3,6,Hibernating,539,3,GrabMart|GrabFood|GrabCar,59000.0
USR006843,20,6,97000.0,1,Member,Jakarta,0,Promising,3,3,1,1,7,8,Loyal,1139,0,GrabBike,97000.0
USR002165,12,11,728000.0,3,Gold,Bekasi,0,Loyal,3,3,4,3,10,13,Loyal,8550,4,GrabMart|GrabBike|GrabFood,728000.0
USR001862,29,10,645000.0,4,Gold,Bandung,0,Loyal,2,3,4,4,9,13,At_Risk,6637,4,GrabCar|GrabExpress|GrabMart|GrabBike,645000.0
USR007850,20,5,171000.0,1,Member,Jakarta,0,Promising,3,2,2,1,7,8,Promising,1639,0,GrabBike,171000.0
USR009123,197,0,76000.0,3,Member,Bandung,0,Hibernating,1,1,1,3,3,6,Hibernating,760,3,GrabMart|GrabExpress|GrabCar,76000.0
USR002340,13,9,645000.0,3,Gold,Jakarta,0,Loyal,3,3,4,3,10,13,Loyal,6737,4,GrabBike|GrabFood|GrabCar,645000.0
USR005527,81,4,307000.0,1,Silver,Bekasi,1,At_Risk,1,2,3,1,6,7,Hibernating,2558,0,GrabMart,307000.0
USR006743,18,5,208000.0,2,Silver,Jakarta,0,Promising,3,2,2,2,7,9,Promising,2139,0,GrabMart|GrabExpress,208000.0
USR004003,64,2,312000.0,2,Silver,Jakarta,1,At_Risk,2,1,3,2,6,8,Hibernating,3081,0,GrabFood|GrabMart,312000.0
USR001123,8,19,2479000.0,3,Platinum,Bandung,0,Champions,4,4,4,3,12,15,Champions,20267,1,GrabMart|GrabBike|GrabCar,2479000.0
USR008709,238,0,71000.0,2,Member,Jakarta,1,Hibernating,1,1,1,2,3,5,Hibernating,765,3,GrabBike|GrabExpress,71000.0
USR004049,45,4,166000.0,1,Member,Jakarta,0,At_Risk,2,2,2,1,6,7,Hibernating,1535,0,GrabFood,166000.0
USR007640,18,7,249000.0,1,Silver,Jakarta,0,Promising,3,3,3,1,9,10,Loyal,2022,0,GrabBike,249000.0
USR000765,13,25,2143000.0,2,Platinum,Bekasi,0,Champions,3,4,4,2,11,13,Loyal,24773,1,GrabExpress|GrabBike,2143000.0
USR002344,19,13,458000.0,1,Silver,Jakarta,0,Loyal,3,4,3,1,10,11,Loyal,4841,2,GrabExpress,458000.0
USR004071,77,4,336000.0,2,Silver,Jakarta,0,At_Risk,2,2,3,2,7,9,Hibernating,2803,0,GrabFood|GrabExpress,336000.0
USR007216,10,6,248000.0,2,Silver,Bekasi,1,Promising,4,3,3,2,10,12,Champions,1999,0,GrabCar|GrabFood,248000.0
USR004216,47,4,337000.0,1,Silver,Surabaya,0,At_Risk,2,2,3,1,7,8,Hibernating,3726,0,GrabExpress,337000.0
USR007952,8,6,243000.0,1,Silver,Surabaya,0,Promising,4,3,3,1,10,11,Champions,2199,0,GrabMart,243000.0
USR005970,56,3,304000.0,2,Silver,Surabaya,0,At_Risk,2,2,3,2,7,9,Hibernating,3116,0,GrabFood|GrabMart,304000.0
USR003350,28,10,573000.0,2,Silver,Medan,0,Loyal,2,3,3,2,8,10,At_Risk,6407,2,GrabMart|GrabBike,573000.0
USR004695,56,3,329000.0,1,Silver,Jakarta,1,At_Risk,2,2,3,1,7,8,Hibernating,3073,0,GrabExpress,329000.0
USR003399,24,8,775000.0,3,Gold,Bekasi,0,Loyal,2,3,4,3,9,12,At_Risk,8496,4,GrabFood|GrabMart|GrabBike,775000.0
USR004081,72,2,164000.0,2,Member,Jakarta,1,At_Risk,2,1,2,2,5,7,Hibernating,1551,0,GrabFood|GrabMart,164000.0
USR009149,257,0,72000.0,1,Member,Jakarta,1,Hibernating,1,1,1,1,3,4,Hibernating,808,3,GrabExpress,72000.0
USR001224,13,17,938000.0,4,Gold,Jakarta,0,Champions,3,4,4,4,11,15,Loyal,10771,1,GrabFood|GrabExpress|GrabMart|GrabBike,938000.0
USR006292,9,3,139000.0,1,Member,Medan,1,Promising,4,2,2,1,8,9,Promising,1162,0,GrabFood,139000.0
USR003122,10,11,405000.0,3,Silver,Surabaya,0,Loyal,4,3,3,3,10,13,Champions,3508,4,GrabBike|GrabCar|GrabMart,405000.0
USR000510,10,27,1699000.0,3,Platinum,Jakarta,0,Champions,4,4,4,3,12,15,Champions,19600,1,GrabExpress|GrabMart|GrabFood,1699000.0
USR005794,52,5,150000.0,1,Member,Jakarta,0,At_Risk,2,2,2,1,6,7,Hibernating,1572,0,GrabExpress,150000.0
USR008181,145,0,25000.0,2,Member,Jakarta,0,Hibernating,1,1,1,2,3,5,Hibernating,224,3,GrabMart|GrabBike,25000.0
USR009417,322,0,74000.0,2,Member,Bandung,0,Hibernating,1,1,1,2,3,5,Hibernating,740,3,GrabFood|GrabCar,74000.0
USR000096,2,27,1925000.0,1,Platinum,Surabaya,0,Champions,4,4,4,1,12,13,Champions,22344,1,GrabExpress,1925000.0
USR006681,15,3,187000.0,3,Member,Bekasi,0,Promising,3,2,2,3,7,10,Promising,2211,4,GrabFood|GrabCar|GrabExpress,187000.0
USR001512,17,11,643000.0,2,Gold,Bekasi,1,Loyal,3,3,4,2,10,12,Loyal,6408,2,GrabCar|GrabBike,643000.0
USR008791,315,0,64000.0,3,Member,Jakarta,1,Hibernating,1,1,1,3,3,6,Hibernating,643,3,GrabBike|GrabCar|GrabFood,64000.0
USR000119,2,21,1722000.0,2,Platinum,Jakarta,0,Champions,4,4,4,2,12,14,Champions,14088,1,GrabMart|GrabFood,1722000.0
USR007791,15,3,240000.0,2,Silver,Bekasi,0,Promising,3,2,2,2,7,9,Promising,2606,0,GrabBike|GrabExpress,240000.0
USR006517,15,6,224000.0,2,Silver,Jakarta,0,Promising,3,3,2,2,8,10,Loyal,1952,0,GrabExpress|GrabCar,224000.0
USR000033,6,27,1064000.0,2,Gold,Medan,0,Champions,4,4,4,2,12,14,Champions,9497,1,GrabExpress|GrabFood,1064000.0
USR007887,20,5,112000.0,1,Member,Surabaya,0,Promising,3,2,1,1,6,7,Promising,914,0,GrabBike,112000.0
USR006830,10,5,211000.0,2,Silver,Jakarta,0,Promising,4,2,2,2,8,10,Promising,1796,0,GrabMart|GrabBike,211000.0
USR005421,52,3,276000.0,3,Silver,Jakarta,0,At_Risk,2,2,3,3,7,10,Hibernating,2865,4,GrabExpress|GrabCar|GrabFood,276000.0
USR001068,2,23,1480000.0,1,Gold,Bekasi,0,Champions,4,4,4,1,12,13,Champions,16110,1,GrabBike,1480000.0
USR001347,13,27,852000.0,2,Gold,Jakarta,0,Champions,3,4,4,2,11,13,Loyal,8599,2,GrabMart|GrabExpress,852000.0
USR004747,82,3,103000.0,3,Member,Jakarta,1,At_Risk,1,2,1,3,4,7,Hibernating,1027,4,GrabExpress|GrabBike|GrabMart,103000.0
USR006005,16,3,167000.0,1,Member,Surabaya,0,Promising,3,2,2,1,7,8,Promising,1890,0,GrabBike,167000.0
USR006039,3,4,155000.0,4,Member,Jakarta,0,Promising,4,2,2,4,8,12,Promising,1534,4,GrabFood|GrabCar|GrabMart|GrabExpress,155000.0
USR003817,25,9,632000.0,2,Gold,Bandung,0,Loyal,2,3,4,2,9,11,At_Risk,5235,2,GrabFood|GrabMart,632000.0
USR008446,129,0,2000.0,2,Member,Medan,1,Hibernating,1,1,1,2,3,5,Hibernating,23,0,GrabMart|GrabCar,2000.0
USR005269,46,5,122000.0,1,Member,Jakarta,0,At_Risk,2,2,2,1,6,7,Hibernating,1294,0,GrabFood,122000.0
USR006897,14,7,135000.0,4,Member,Jakarta,0,Promising,3,3,2,4,8,12,Loyal,1123,4,GrabCar|GrabExpress|GrabFood|GrabMart,135000.0
USR005309,58,5,294000.0,3,Silver,Medan,0,At_Risk,2,2,3,3,7,10,Hibernating,2998,4,GrabCar|GrabFood|GrabExpress,294000.0
USR000031,7,25,1508000.0,3,Platinum,Bandung,0,Champions,4,4,4,3,12,15,Champions,15729,1,GrabExpress|GrabCar|GrabFood,1508000.0
USR005674,87,5,181000.0,2,Member,Surabaya,0,At_Risk,1,2,2,2,5,7,Hibernating,1615,0,GrabCar|GrabExpress,181000.0
USR004386,89,2,231000.0,1,Silver,Jakarta,0,At_Risk,1,1,2,1,4,5,Hibernating,2549,0,GrabFood,231000.0
USR000029,6,16,2273000.0,4,Platinum,Jakarta,0,Champions,4,4,4,4,12,16,Champions,20893,1,GrabFood|GrabCar|GrabMart|GrabExpress,2273000.0
USR004202,52,4,276000.0,3,Silver,Jakarta,0,At_Risk,2,2,3,3,7,10,Hibernating,2868,4,GrabExpress|GrabMart|GrabBike,276000.0
USR007507,8,3,91000.0,2,Member,Jakarta,0,Promising,4,2,1,2,7,9,Promising,942,0,GrabFood|GrabMart,91000.0
USR000735,1,25,1559000.0,1,Platinum,Jakarta,0,Champions,4,4,4,1,12,13,Champions,13138,1,GrabCar,1559000.0
USR002067,11,8,548000.0,2,Silver,Jakarta,0,Loyal,4,3,3,2,10,12,Champions,4563,2,GrabFood|GrabMart,548000.0
USR000106,8,16,1711000.0,3,Platinum,Bandung,0,Champions,4,4,4,3,12,15,Champions,15572,1,GrabExpress|GrabFood|GrabMart,1711000.0
USR009644,129,0,54000.0,1,Member,Jakarta,0,Hibernating,1,1,1,1,3,4,Hibernating,585,0,GrabMart,54000.0
USR008894,137,0,6000.0,2,Member,Bandung,1,Hibernating,1,1,1,2,3,5,Hibernating,66,0,GrabMart|GrabCar,6000.0
USR008020,268,0,58000.0,2,Member,Jakarta,1,Hibernating,1,1,1,2,3,5,Hibernating,643,3,GrabExpress|GrabMart,58000.0
USR002232,11,8,690000.0,1,Gold,Bandung,1,Loyal,4,3,4,1,11,12,Champions,6194,2,GrabCar,690000.0
USR000993,7,26,1670000.0,1,Platinum,Jakarta,0,Champions,4,4,4,1,12,13,Champions,18236,1,GrabFood,1670000.0
USR009412,165,0,35000.0,2,Member,Jakarta,1,Hibernating,1,1,1,2,3,5,Hibernating,313,3,GrabCar|GrabExpress,35000.0
USR007058,17,7,85000.0,2,Member,Medan,0,Promising,3,3,1,2,7,9,Loyal,800,0,GrabBike|GrabCar,85000.0
USR006789,7,4,229000.0,1,Silver,Surabaya,0,Promising,4,2,2,1,8,9,Promising,2247,0,GrabBike,229000.0
USR000360,5,18,1055000.0,2,Gold,Jakarta,0,Champions,4,4,4,2,12,14,Champions,9086,2,GrabCar|GrabBike,1055000.0
USR000304,7,15,1704000.0,2,Platinum,Medan,0,Champions,4,4,4,2,12,14,Champions,17076,1,GrabBike|GrabMart,1704000.0
USR002627,20,13,642000.0,2,Gold,Bandung,0,Loyal,3,4,4,2,11,13,Loyal,6236,2,GrabBike|GrabFood,642000.0
USR008965,222,0,28000.0,1,Member,Jakarta,1,Hibernating,1,1,1,1,3,4,Hibernating,258,3,GrabFood,28000.0
USR004513,89,5,162000.0,2,Member,Jakarta,0,At_Risk,1,2,2,2,5,7,Hibernating,1339,0,GrabExpress|GrabBike,162000.0
USR005910,64,5,324000.0,1,Silver,Bekasi,0,At_Risk,2,2,3,1,7,8,Hibernating,3060,0,GrabMart,324000.0
USR008313,336,0,78000.0,3,Member,Jakarta,1,Hibernating,1,1,1,3,3,6,Hibernating,846,3,GrabBike|GrabCar|GrabMart,78000.0
USR003100,19,10,621000.0,1,Gold,Bekasi,1,Loyal,3,3,4,1,10,11,Loyal,6912,2,GrabFood,621000.0
USR005703,54,2,133000.0,1,Member,Jakarta,1,At_Risk,2,1,2,1,5,6,Hibernating,1317,0,GrabMart,133000.0
USR003898,8,13,676000.0,1,Gold,Bekasi,0,Loyal,4,4,4,1,12,13,Champions,7187,2,GrabCar,676000.0
USR005440,51,4,303000.0,1,Silver,Jakarta,1,At_Risk,2,2,3,1,7,8,Hibernating,2798,0,GrabCar,303000.0
USR007930,6,4,220000.0,2,Silver,Bekasi,0,Promising,4,2,2,2,8,10,Promising,2040,0,GrabCar|GrabFood,220000.0
USR000621,10,16,2459000.0,3,Platinum,Surabaya,0,Champions,4,4,4,3,12,15,Champions,25412,1,GrabBike|GrabExpress|GrabCar,2459000.0
USR007235,8,3,166000.0,2,Member,Jakarta,1,Promising,4,2,2,2,8,10,Promising,1960,0,GrabMart|GrabExpress,166000.0
USR002498,29,10,347000.0,1,Silver,Surabaya,0,Loyal,2,3,3,1,8,9,At_Risk,2848,2,GrabCar,347000.0
USR000713,4,29,1310000.0,2,Gold,Jakarta,0,Champions,4,4,4,2,12,14,Champions,15073,1,GrabExpress|GrabMart,1310000.0
USR008403,132,0,30000.0,2,Member,Jakarta,0,Hibernating,1,1,1,2,3,5,Hibernating,313,0,GrabFood|GrabBike,30000.0
