user_id,segment_true,last_tx_date,recency_days,frequency_monthly,monetary_monthly,ovo_points_balance,tier,services_used,n_services,city,churn_label
USR000035,Champions,2024-12-28,4,25,1466000.0,15556,Gold,GrabMart|GrabBike,2,Surabaya,0
USR008362,Hibernating,2024-01-13,354,0,14000.0,163,Member,GrabMart,1,Jakarta,0
USR001513,Loyal,2024-12-20,12,9,628000.0,7465,Gold,GrabMart|GrabExpress|GrabCar,3,Jakarta,0
USR009317,Hibernating,2024-08-28,126,0,22000.0,230,Member,GrabCar|GrabMart|GrabBike|GrabExpress,4,Surabaya,1
USR000039,Champions,2024-12-21,11,28,1065000.0,9782,Gold,GrabCar|GrabExpress|GrabMart|GrabBike,4,Bandung,0
USR004819,At_Risk,2024-10-08,85,3,172000.0,1584,Member,GrabBike,1,Bekasi,0
USR003465,Loyal,2024-12-14,18,9,616000.0,5798,Gold,GrabFood|GrabMart|GrabExpress,3,Surabaya,0
USR001760,Loyal,2024-12-21,11,9,510000.0,5135,Silver,GrabMart|GrabExpress,2,Jakarta,0
USR002304,Loyal,2024-12-23,9,10,614000.0,4944,Gold,GrabMart,1,Bekasi,0
USR003723,Loyal,2024-12-11,21,9,585000.0,5803,Silver,GrabBike|GrabMart|GrabFood,3,Bandung,0
USR008284,Hibernating,2024-04-21,255,0,76000.0,851,Member,GrabCar,1,Surabaya,1
USR004993,At_Risk,2024-10-08,85,3,219000.0,2208,Silver,GrabExpress,1,Bandung,1
USR008127,Hibernating,2024-03-17,290,0,31000.0,268,Member,GrabCar,1,Surabaya,1
USR003032,Loyal,2024-12-13,19,9,425000.0,4420,Silver,GrabFood|GrabExpress|GrabCar,3,Jakarta,0
USR007938,Promising,2024-12-28,4,3,230000.0,2029,Silver,GrabFood|GrabCar|GrabBike,3,Jakarta,1
USR003039,Loyal,2024-12-15,17,12,734000.0,8595,Gold,GrabFood|GrabMart,2,Surabaya,0
USR009655,Hibernating,2024-08-09,145,0,31000.0,303,Member,GrabExpress|GrabBike,2,Jakarta,1
USR002545,Loyal,2024-12-24,8,11,587000.0,6894,Silver,GrabMart,1,Jakarta,0
USR002592,Loyal,2024-12-24,8,13,371000.0,3482,Silver,GrabCar|GrabBike|GrabFood|GrabExpress,4,Surabaya,0
USR001188,Champions,2024-12-20,12,26,1184000.0,13837,Gold,GrabBike|GrabMart|GrabCar|GrabExpress,4,Jakarta,0
USR007966,Promising,2024-12-13,19,5,207000.0,2198,Silver,GrabExpress,1,Jakarta,0
USR006077,Promising,2024-12-18,14,6,125000.0,1296,Member,GrabCar,1,Jakarta,0
USR000107,Champions,2024-12-28,4,22,1516000.0,13886,Platinum,GrabExpress|GrabFood|GrabCar|GrabBike,4,Jakarta,0
USR001315,Champions,2024-12-28,4,29,2381000.0,24299,Platinum,GrabBike|GrabFood|GrabMart,3,Jakarta,0
USR008187,Hibernating,2024-07-01,184,0,23000.0,216,Member,GrabCar|GrabFood|GrabBike,3,Bekasi,1
USR002753,Loyal,2024-12-11,21,12,480000.0,4661,Silver,GrabMart,1,Bandung,0
USR009753,Hibernating,2024-09-30,93,0,38000.0,426,Member,GrabFood|GrabMart|GrabCar,3,Surabaya,1
USR006231,Promising,2024-12-26,6,6,86000.0,840,Member,GrabCar,1,Bekasi,0
USR002876,Loyal,2024-12-25,7,9,757000.0,6923,Gold,GrabMart,1,Medan,0
USR005323,At_Risk,2024-10-19,74,3,258000.0,3093,Silver,GrabCar,1,Bandung,0
USR000799,Champions,2024-12-26,6,24,1962000.0,20039,Platinum,GrabFood|GrabBike,2,Bekasi,0
USR003570,Loyal,2024-12-17,15,13,438000.0,4942,Silver,GrabMart,1,Medan,0
USR002894,Loyal,2024-12-25,7,12,587000.0,6232,Silver,GrabBike|GrabExpress,2,Jakarta,0
USR002927,Loyal,2024-12-15,17,10,585000.0,5392,Silver,GrabBike,1,Jakarta,0
USR008178,Hibernating,2024-05-03,243,0,58000.0,695,Member,GrabBike|GrabMart|GrabFood,3,Jakarta,1
USR000971,Champions,2024-12-21,11,18,1869000.0,19515,Platinum,GrabMart,1,Jakarta,0
USR006687,Promising,2024-12-28,4,7,134000.0,1216,Member,GrabCar|GrabBike,2,Bandung,1
USR008575,Hibernating,2024-02-05,331,0,59000.0,512,Member,GrabExpress,1,Medan,1
USR002020,Loyal,2024-12-10,22,13,713000.0,6320,Gold,GrabMart,1,Surabaya,0
USR009054,Hibernating,2024-02-19,317,0,58000.0,505,Member,GrabBike|GrabCar|GrabFood,3,Jakarta,1
USR000952,Champions,2024-12-19,13,16,1356000.0,15885,Gold,GrabMart,1,Jakarta,0
USR005359,At_Risk,2024-10-21,72,5,257000.0,2719,Silver,GrabBike|GrabCar|GrabMart,3,Jakarta,0
USR003857,Loyal,2024-12-05,27,14,622000.0,5680,Gold,GrabExpress,1,Bekasi,0
USR005861,At_Risk,2024-11-04,58,5,310000.0,2501,Silver,GrabExpress,1,Jakarta,1
USR003145,Loyal,2024-12-16,16,13,793000.0,9435,Gold,GrabCar|GrabBike|GrabFood,3,Surabaya,0
USR003305,Loyal,2024-12-05,27,14,524000.0,6250,Silver,GrabBike|GrabCar,2,Bekasi,0
USR003006,Loyal,2024-12-13,19,12,774000.0,7484,Gold,GrabCar|GrabFood,2,Bekasi,0
USR009001,Hibernating,2024-03-14,293,0,71000.0,687,Member,GrabExpress,1,Jakarta,1
USR007770,Promising,2024-12-22,10,3,80000.0,687,Member,GrabCar|GrabBike|GrabFood,3,Jakarta,0
USR007438,Promising,2024-12-20,12,4,188000.0,2025,Member,GrabMart|GrabBike,2,Medan,1
USR007942,Promising,2024-12-18,14,3,155000.0,1693,Member,GrabFood,1,Jakarta,0
USR009238,Hibernating,2024-03-03,304,0,9000.0,72,Member,GrabBike|GrabMart,2,Jakarta,1
USR001056,Champions,2024-12-28,4,22,1854000.0,15426,Platinum,GrabMart|GrabExpress|GrabBike|GrabCar,4,Surabaya,0
USR003154,Loyal,2024-12-20,12,14,738000.0,7012,Gold,GrabFood|GrabCar,2,Jakarta,0
USR003787,Loyal,2024-12-06,26,13,505000.0,5435,Silver,GrabBike,1,Jakarta,0
USR009189,Hibernating,2024-07-20,165,0,12000.0,118,Member,GrabExpress,1,Medan,1
USR007825,Promising,2024-12-21,11,3,209000.0,1755,Silver,GrabBike,1,Jakarta,0
USR007539,Promising,2024-12-19,13,4,221000.0,1873,Silver,GrabExpress|GrabBike|GrabFood|GrabMart,4,Medan,0
USR007231,Promising,2024-12-23,9,3,162000.0,1418,Member,GrabMart,1,Jakarta,0
USR000764,Champions,2024-12-20,12,26,2281000.0,19440,Platinum,GrabExpress|GrabMart,2,Jakarta,0
USR005019,At_Risk,2024-10-06,87,3,254000.0,2380,Silver,GrabBike,1,Medan,0
USR004903,At_Risk,2024-10-31,62,5,273000.0,2634,Silver,GrabBike|GrabMart,2,Jakarta,0
USR008093,Hibernating,2024-07-30,155,0,59000.0,539,Member,GrabMart|GrabFood|GrabCar,3,Bekasi,1
USR006843,Promising,2024-12-12,20,6,97000.0,1139,Member,GrabBike,1,Jakarta,0
USR002165,Loyal,2024-12-20,12,11,728000.0,8550,Gold,GrabMart|GrabBike|GrabFood,3,Bekasi,0
USR001862,Loyal,2024-12-03,29,10,645000.0,6637,Gold,GrabCar|GrabExpress|GrabMart|GrabBike,4,Bandung,0
USR007850,Promising,2024-12-12,20,5,171000.0,1639,Member,GrabBike,1,Jakarta,0
USR009123,Hibernating,2024-06-18,197,0,76000.0,760,Member,GrabMart|GrabExpress|GrabCar,3,Bandung,0
USR002340,Loyal,2024-12-19,13,9,645000.0,6737,Gold,GrabBike|GrabFood|GrabCar,3,Jakarta,0
USR005527,At_Risk,2024-10-12,81,4,307000.0,2558,Silver,GrabMart,1,Bekasi,1
USR006743,Promising,2024-12-14,18,5,208000.0,2139,Silver,GrabMart|GrabExpress,2,Jakarta,0
USR004003,At_Risk,2024-10-29,64,2,312000.0,3081,Silver,GrabFood|GrabMart,2,Jakarta,1
USR001123,Champions,2024-12-24,8,19,2479000.0,20267,Platinum,GrabMart|GrabBike|GrabCar,3,Bandung,0
USR008709,Hibernating,2024-05-08,238,0,71000.0,765,Member,GrabBike|GrabExpress,2,Jakarta,1
USR004049,At_Risk,2024-11-17,45,4,166000.0,1535,Member,GrabFood,1,Jakarta,0
USR007640,Promising,2024-12-14,18,7,249000.0,2022,Silver,GrabBike,1,Jakarta,0
USR000765,Champions,2024-12-19,13,25,2143000.0,24773,Platinum,GrabExpress|GrabBike,2,Bekasi,0
USR002344,Loyal,2024-12-13,19,13,458000.0,4841,Silver,GrabExpress,1,Jakarta,0
USR004071,At_Risk,2024-10-16,77,4,336000.0,2803,Silver,GrabFood|GrabExpress,2,Jakarta,0
USR007216,Promising,2024-12-22,10,6,248000.0,1999,Silver,GrabCar|GrabFood,2,Bekasi,1
USR004216,At_Risk,2024-11-15,47,4,337000.0,3726,Silver,GrabExpress,1,Surabaya,0
USR007952,Promising,2024-12-24,8,6,243000.0,2199,Silver,GrabMart,1,Surabaya,0
USR005970,At_Risk,2024-11-06,56,3,304000.0,3116,Silver,GrabFood|GrabMart,2,Surabaya,0
USR003350,Loyal,2024-12-04,28,10,573000.0,6407,Silver,GrabMart|GrabBike,2,Medan,0
USR004695,At_Risk,2024-11-06,56,3,329000.0,3073,Silver,GrabExpress,1,Jakarta,1
USR003399,Loyal,2024-12-08,24,8,775000.0,8496,Gold,GrabFood|GrabMart|GrabBike,3,Bekasi,0
USR004081,At_Risk,2024-10-21,72,2,164000.0,1551,Member,GrabFood|GrabMart,2,Jakarta,1
USR009149,Hibernating,2024-04-19,257,0,72000.0,808,Member,GrabExpress,1,Jakarta,1
USR001224,Champions,2024-12-19,13,17,938000.0,10771,Gold,GrabFood|GrabExpress|GrabMart|GrabBike,4,Jakarta,0
USR006292,Promising,2024-12-23,9,3,139000.0,1162,Member,GrabFood,1,Medan,1
USR003122,Loyal,2024-12-22,10,11,405000.0,3508,Silver,GrabBike|GrabCar|GrabMart,3,Surabaya,0
USR000510,Champions,2024-12-22,10,27,1699000.0,19600,Platinum,GrabExpress|GrabMart|GrabFood,3,Jakarta,0
USR005794,At_Risk,2024-11-10,52,5,150000.0,1572,Member,GrabExpress,1,Jakarta,0
USR008181,Hibernating,2024-08-09,145,0,25000.0,224,Member,GrabMart|GrabBike,2,Jakarta,0
USR009417,Hibernating,2024-02-14,322,0,74000.0,740,Member,GrabFood|GrabCar,2,Bandung,0
USR000096,Champions,2024-12-30,2,27,1925000.0,22344,Platinum,GrabExpress,1,Surabaya,0
USR006681,Promising,2024-12-17,15,3,187000.0,2211,Member,GrabFood|GrabCar|GrabExpress,3,Bekasi,0
USR001512,Loyal,2024-12-15,17,11,643000.0,6408,Gold,GrabCar|GrabBike,2,Bekasi,1
USR008791,Hibernating,2024-02-21,315,0,64000.0,643,Member,GrabBike|GrabCar|GrabFood,3,Jakarta,1
USR000119,Champions,2024-12-30,2,21,1722000.0,14088,Platinum,GrabMart|GrabFood,2,Jakarta,0
USR007791,Promising,2024-12-17,15,3,240000.0,2606,Silver,GrabBike|GrabExpress,2,Bekasi,0
USR006517,Promising,2024-12-17,15,6,224000.0,1952,Silver,GrabExpress|GrabCar,2,Jakarta,0
USR000033,Champions,2024-12-26,6,27,1064000.0,9497,Gold,GrabExpress|GrabFood,2,Medan,0
USR007887,Promising,2024-12-12,20,5,112000.0,914,Member,GrabBike,1,Surabaya,0
USR006830,Promising,2024-12-22,10,5,211000.0,1796,Silver,GrabMart|GrabBike,2,Jakarta,0
USR005421,At_Risk,2024-11-10,52,3,276000.0,2865,Silver,GrabExpress|GrabCar|GrabFood,3,Jakarta,0
USR001068,Champions,2024-12-30,2,23,1480000.0,16110,Gold,GrabBike,1,Bekasi,0
USR001347,Champions,2024-12-19,13,27,852000.0,8599,Gold,GrabMart|GrabExpress,2,Jakarta,0
USR004747,At_Risk,2024-10-11,82,3,103000.0,1027,Member,GrabExpress|GrabBike|GrabMart,3,Jakarta,1
USR006005,Promising,2024-12-16,16,3,167000.0,1890,Member,GrabBike,1,Surabaya,0
USR006039,Promising,2024-12-29,3,4,155000.0,1534,Member,GrabFood|GrabCar|GrabMart|GrabExpress,4,Jakarta,0
USR003817,Loyal,2024-12-07,25,9,632000.0,5235,Gold,GrabFood|GrabMart,2,Bandung,0
USR008446,Hibernating,2024-08-25,129,0,2000.0,23,Member,GrabMart|GrabCar,2,Medan,1
USR005269,At_Risk,2024-11-16,46,5,122000.0,1294,Member,GrabFood,1,Jakarta,0
USR006897,Promising,2024-12-18,14,7,135000.0,1123,Member,GrabCar|GrabExpress|GrabFood|GrabMart,4,Jakarta,0
USR005309,At_Risk,2024-11-04,58,5,294000.0,2998,Silver,GrabCar|GrabFood|GrabExpress,3,Medan,0
USR000031,Champions,2024-12-25,7,25,1508000.0,15729,Platinum,GrabExpress|GrabCar|GrabFood,3,Bandung,0
USR005674,At_Risk,2024-10-06,87,5,181000.0,1615,Member,GrabCar|GrabExpress,2,Surabaya,0
USR004386,At_Risk,2024-10-04,89,2,231000.0,2549,Silver,GrabFood,1,Jakarta,0
USR000029,Champions,2024-12-26,6,16,2273000.0,20893,Platinum,GrabFood|GrabCar|GrabMart|GrabExpress,4,Jakarta,0
USR004202,At_Risk,2024-11-10,52,4,276000.0,2868,Silver,GrabExpress|GrabMart|GrabBike,3,Jakarta,0
USR007507,Promising,2024-12-24,8,3,91000.0,942,Member,GrabFood|GrabMart,2,Jakarta,0
USR000735,Champions,2024-12-31,1,25,1559000.0,13138,Platinum,GrabCar,1,Jakarta,0
USR002067,Loyal,2024-12-21,11,8,548000.0,4563,Silver,GrabFood|GrabMart,2,Jakarta,0
USR000106,Champions,2024-12-24,8,16,1711000.0,15572,Platinum,GrabExpress|GrabFood|GrabMart,3,Bandung,0
USR009644,Hibernating,2024-08-25,129,0,54000.0,585,Member,GrabMart,1,Jakarta,0
USR008894,Hibernating,2024-08-17,137,0,6000.0,66,Member,GrabMart|GrabCar,2,Bandung,1
USR008020,Hibernating,2024-04-08,268,0,58000.0,643,Member,GrabExpress|GrabMart,2,Jakarta,1
USR002232,Loyal,2024-12-21,11,8,690000.0,6194,Gold,GrabCar,1,Bandung,1
USR000993,Champions,2024-12-25,7,26,1670000.0,18236,Platinum,GrabFood,1,Jakarta,0
USR009412,Hibernating,2024-07-20,165,0,35000.0,313,Member,GrabCar|GrabExpress,2,Jakarta,1
USR007058,Promising,2024-12-15,17,7,85000.0,800,Member,GrabBike|GrabCar,2,Medan,0
USR006789,Promising,2024-12-25,7,4,229000.0,2247,Silver,GrabBike,1,Surabaya,0
USR000360,Champions,2024-12-27,5,18,1055000.0,9086,Gold,GrabCar|GrabBike,2,Jakarta,0
USR000304,Champions,2024-12-25,7,15,1704000.0,17076,Platinum,GrabBike|GrabMart,2,Medan,0
USR002627,Loyal,2024-12-12,20,13,642000.0,6236,Gold,GrabBike|GrabFood,2,Bandung,0
USR008965,Hibernating,2024-05-24,222,0,28000.0,258,Member,GrabFood,1,Jakarta,1
USR004513,At_Risk,2024-10-04,89,5,162000.0,1339,Member,GrabExpress|GrabBike,2,Jakarta,0
USR005910,At_Risk,2024-10-29,64,5,324000.0,3060,Silver,GrabMart,1,Bekasi,0
USR008313,Hibernating,2024-01-31,336,0,78000.0,846,Member,GrabBike|GrabCar|GrabMart,3,Jakarta,1
USR003100,Loyal,2024-12-13,19,10,621000.0,6912,Gold,GrabFood,1,Bekasi,1
USR005703,At_Risk,2024-11-08,54,2,133000.0,1317,Member,GrabMart,1,Jakarta,1
USR003898,Loyal,2024-12-24,8,13,676000.0,7187,Gold,GrabCar,1,Bekasi,0
USR005440,At_Risk,2024-11-11,51,4,303000.0,2798,Silver,GrabCar,1,Jakarta,1
USR007930,Promising,2024-12-26,6,4,220000.0,2040,Silver,GrabCar|GrabFood,2,Bekasi,0
USR000621,Champions,2024-12-22,10,16,2459000.0,25412,Platinum,GrabBike|GrabExpress|GrabCar,3,Surabaya,0
USR007235,Promising,2024-12-24,8,3,166000.0,1960,Member,GrabMart|GrabExpress,2,Jakarta,1
USR002498,Loyal,2024-12-03,29,10,347000.0,2848,Silver,GrabCar,1,Surabaya,0
USR000713,Champions,2024-12-28,4,29,1310000.0,15073,Gold,GrabExpress|GrabMart,2,Jakarta,0
USR008403,Hibernating,2024-08-22,132,0,30000.0,313,Member,GrabFood|GrabBike,2,Jakarta,0
USR002855,Loyal,2024-12-03,29,9,692000.0,8242,Gold,GrabExpress|GrabBike|GrabFood,3,Bekasi,0
USR004269,At_Risk,2024-10-14,79,3,280000.0,2485,Silver,GrabBike|GrabFood,2,Bandung,0
USR002908,Loyal,2024-12-16,16,13,698000.0,6018,Gold,GrabFood,1,Jakarta,0
USR008080,Hibernating,2024-04-01,275,0,69000.0,649,Member,GrabExpress|GrabMart|GrabFood|GrabCar,4,Medan,1
USR004516,At_Risk,2024-10-14,79,4,214000.0,2076,Silver,GrabFood,1,Jakarta,1
USR001261,Champions,2024-12-23,9,18,1499000.0,17296,Gold,GrabCar|GrabBike|GrabFood,3,Surabaya,0
USR003160,Loyal,2024-12-06,26,14,358000.0,3668,Silver,GrabMart|GrabFood|GrabCar,3,Bekasi,0
USR000970,Champions,2024-12-23,9,20,2330000.0,22212,Platinum,GrabExpress|GrabMart|GrabBike|GrabFood,4,Medan,0
USR003912,Loyal,2024-12-17,15,9,621000.0,6442,Gold,GrabFood|GrabExpress,2,Medan,0
USR005198,At_Risk,2024-10-24,69,2,270000.0,3227,Silver,GrabMart,1,Jakarta,0
USR008846,Hibernating,2024-06-22,193,0,80000.0,733,Member,GrabFood|GrabExpress,2,Bandung,1
USR000259,Champions,2024-12-29,3,16,1957000.0,20976,Platinum,GrabMart|GrabExpress|GrabBike,3,Surabaya,0
USR003790,Loyal,2024-12-19,13,11,412000.0,3927,Silver,GrabExpress|GrabCar|GrabMart,3,Jakarta,1
USR009202,Hibernating,2024-02-29,307,0,60000.0,521,Member,GrabMart,1,Surabaya,1
USR000487,Champions,2024-12-25,7,20,2369000.0,21957,Platinum,GrabMart|GrabBike|GrabExpress,3,Jakarta,0
USR007907,Promising,2024-12-15,17,6,91000.0,1079,Member,GrabExpress|GrabFood|GrabBike,3,Surabaya,0
USR000518,Champions,2024-12-27,5,25,2369000.0,24798,Platinum,GrabFood|GrabCar,2,Surabaya,1
USR008342,Hibernating,2024-03-03,304,0,18000.0,177,Member,GrabMart|GrabFood|GrabBike,3,Jakarta,0
USR000311,Champions,2024-12-24,8,25,2305000.0,21521,Platinum,GrabBike|GrabExpress|GrabFood,3,Surabaya,0
USR003231,Loyal,2024-12-19,13,11,540000.0,5931,Silver,GrabBike,1,Bekasi,0
USR007932,Promising,2024-12-20,12,5,87000.0,953,Member,GrabCar|GrabFood,2,Jakarta,0
USR007457,Promising,2024-12-20,12,5,187000.0,2157,Member,GrabBike,1,Bekasi,0
USR009783,Hibernating,2024-06-08,207,0,4000.0,42,Member,GrabBike|GrabExpress|GrabMart,3,Jakarta,1
USR005183,At_Risk,2024-10-23,70,4,170000.0,1373,Member,GrabBike|GrabExpress,2,Bekasi,1
USR008076,Hibernating,2024-04-23,253,0,21000.0,182,Member,GrabBike,1,Jakarta,1
USR006501,Promising,2024-12-24,8,5,164000.0,1747,Member,GrabFood|GrabMart|GrabCar|GrabExpress,4,Jakarta,1
USR006790,Promising,2024-12-14,18,5,190000.0,1546,Member,GrabFood|GrabMart|GrabBike,3,Bekasi,0
USR007772,Promising,2024-12-14,18,4,182000.0,2175,Member,GrabFood|GrabExpress|GrabCar,3,Surabaya,0
USR002737,Loyal,2024-12-23,9,8,447000.0,4031,Silver,GrabExpress,1,Bandung,0
USR007841,Promising,2024-12-21,11,3,179000.0,1491,Member,GrabExpress|GrabFood,2,Surabaya,1
USR006261,Promising,2024-12-28,4,6,242000.0,2713,Silver,GrabExpress|GrabCar,2,Jakarta,0
USR008205,Hibernating,2024-05-10,236,0,9000.0,107,Member,GrabBike,1,Bandung,0
USR001247,Champions,2024-12-20,12,28,2028000.0,19990,Platinum,GrabFood|GrabMart,2,Jakarta,0
USR009335,Hibernating,2024-03-28,279,0,53000.0,551,Member,GrabMart|GrabBike|GrabFood,3,Jakarta,0
USR004194,At_Risk,2024-10-23,70,5,345000.0,4077,Silver,GrabFood|GrabExpress,2,Jakarta,1
USR008000,Hibernating,2024-01-30,337,0,70000.0,665,Member,GrabExpress|GrabMart|GrabBike,3,Bekasi,1
USR007377,Promising,2024-12-25,7,5,118000.0,1080,Member,GrabMart|GrabCar,2,Surabaya,0
USR003434,Loyal,2024-12-09,23,11,741000.0,8032,Gold,GrabFood|GrabBike,2,Bekasi,0
USR005381,At_Risk,2024-11-11,51,3,111000.0,926,Member,GrabMart,1,Bandung,0
USR000958,Champions,2024-12-22,10,18,1308000.0,12129,Gold,GrabCar|GrabBike,2,Jakarta,1
USR000416,Champions,2024-12-24,8,22,964000.0,10649,Gold,GrabCar|GrabExpress,2,Jakarta,0
USR005741,At_Risk,2024-10-10,83,2,313000.0,2771,Silver,GrabFood|GrabBike,2,Jakarta,0
USR006727,Promising,2024-12-18,14,7,231000.0,2425,Silver,GrabExpress|GrabFood,2,Surabaya,1
USR004381,At_Risk,2024-11-05,57,5,252000.0,2706,Silver,GrabFood,1,Bandung,0
USR005196,At_Risk,2024-11-11,51,5,320000.0,3623,Silver,GrabCar,1,Surabaya,0
USR001112,Champions,2024-12-20,12,17,1463000.0,13747,Gold,GrabFood|GrabExpress,2,Jakarta,0
USR002688,Loyal,2024-12-13,19,11,590000.0,5733,Silver,GrabExpress,1,Jakarta,0
USR006472,Promising,2024-12-20,12,4,104000.0,1228,Member,GrabExpress|GrabCar|GrabMart|GrabFood,4,Medan,0
USR008819,Hibernating,2024-06-26,189,0,45000.0,484,Member,GrabExpress|GrabBike|GrabCar,3,Bekasi,1
USR007807,Promising,2024-12-14,18,6,192000.0,1546,Member,GrabMart,1,Jakarta,0
USR003410,Loyal,2024-12-16,16,9,677000.0,7810,Gold,GrabFood,1,Surabaya,1
USR000080,Champions,2024-12-29,3,20,1816000.0,15128,Platinum,GrabExpress|GrabBike|GrabCar,3,Surabaya,0
USR004613,At_Risk,2024-10-21,72,5,245000.0,2758,Silver,GrabFood,1,Bandung,0
USR001373,Champions,2024-12-19,13,27,1114000.0,9573,Gold,GrabFood|GrabCar|GrabMart,3,Jakarta,0
USR001509,Loyal,2024-12-21,11,14,493000.0,4042,Silver,GrabExpress|GrabFood,2,Jakarta,0
USR006442,Promising,2024-12-18,14,6,149000.0,1242,Member,GrabBike,1,Jakarta,0
USR003070,Loyal,2024-12-16,16,8,719000.0,8516,Gold,GrabCar,1,Bekasi,1
USR003015,Loyal,2024-12-24,8,10,358000.0,4252,Silver,GrabFood|GrabExpress|GrabCar|GrabBike,4,Bandung,0
USR004822,At_Risk,2024-11-09,53,5,291000.0,2850,Silver,GrabFood|GrabCar|GrabBike|GrabMart,4,Jakarta,0
USR007821,Promising,2024-12-21,11,4,150000.0,1301,Member,GrabExpress|GrabMart|GrabFood,3,Jakarta,0
USR000092,Champions,2024-12-21,11,25,1492000.0,12752,Gold,GrabBike|GrabCar|GrabFood,3,Medan,0
